name,CONML,gvkey_n,sdc_cusip
Fortem Resources,Fortem Resources Inc,178147,4F1630
Five Point Holdings LLC,Five Point Holdings LLC,31108,4F3042
Orion Group Holdings Inc,Orion Group Holdings Inc,179132,4F3375
Ashland Global Holdings Inc,Ashland Global Holdings Inc,1794,4F4087
PDL Community Bancorp,PDL Community Bancorp,32253,4F4733
NCS Multistage Holdings Inc,NCS Multistage Holdings Inc,31005,4F4821
Energy Transfer Partners LP,Energy Transfer Partners LP,141720,4F7384
South Atlantic Bancshares Inc,South Atlantic Bancshares Inc,16271,4F9398
Urban One Inc,Urban One Inc,120301,4H3011
Jefferies Financial Group Inc,Jefferies Financial Group Inc,6682,4H6945
UFP Industries Inc,UFP Industries Inc,29156,4K3430
Koppers Holdings Inc,Koppers Holdings Inc,163113,50060P
Kos Pharmaceuticals Inc,Kos Pharmaceuticals Inc,64542,500648
Krispy Kreme Doughnuts Inc,Krispy Kreme Doughnuts Inc.,133767,501014
Kroll Inc,Kroll Inc,63980,501049
LHC Group Inc,LHC Group Inc,162404,50187A
LKQ Corp,LKQ Corp,155394,501889
LSB Industries Inc,LSB Industries Inc,6528,502160
LSI Industries Inc,LSI Industries Inc,6527,50216C
LTC Properties Inc,LTC Properties Inc.,25665,502175
LSC Communications Inc,LSC Communications Inc,27802,50218P
L3 Technologies Inc,L3 Technologies Inc,110685,502413
L3Harris Technologies Inc,L3Harris Technologies Inc,5492,502431
LaBarge Inc,LaBarge Inc.,6534,502470
La Jolla Pharmaceutical Co,La Jolla Pharmaceutical Co,30281,503459
Laidlaw Global Corp,Laidlaw Global Corp,29676,507306
Laidlaw International Inc,Laidlaw International Inc,6557,50730R
Lakeland Bancorp Inc,Lakeland Bancorp Inc,109621,511637
Leap Technology Inc,Leap Technology Inc,9552,51286M
Lancaster Colony Corp,Lancaster Colony Corp,6573,513847
Land O'Lakes Inc,Land O'Lakes Inc.,148276,51466N
Landec Corp,Landec Corp,62169,514766
Landauer Inc,Landauer Inc.,14169,51476K
Landcadia Holdings Inc,Landcadia Holdings Inc,27241,51476W
Landcadia Holdings II Inc,Landcadia Holdings II Inc,35122,51476X
Lantronix Inc,Lantronix Inc,138467,516548
LaPolla Industries Inc,LaPolla Industries Inc,25198,51671H
Laredo Petroleum Inc,Laredo Petroleum Inc,187961,516806
Laredo Petroleum Inc,Laredo Petroleum Inc,187961,516810
Large Scale Biology Corp,Large Scale Biology Corp,138705,517053
Las Vegas Sands Corp,Las Vegas Sands Inc.,123674,517834
LaSalle Hotel Properties,LaSalle Hotel Properties,109926,517942
Lason Inc,Lason Inc,63741,51808R
Latshaw Enterprises Inc,Latshaw Enterprises Inc,3372,518399
Lattice Semiconductor Corp,Lattice Semiconductor Corp,16597,518415
Laureate Education Inc,Laureate Education Inc.,13227,518613
Lawson Products Inc,Lawson Products Inc,6617,520776
Lawson Software Inc,Lawson Software Inc,144135,520780
Layne Christensen Co,Layne Christensen Co,25680,521050
Lazydays Holdings Inc,Lazydays Holdings Inc,26218,52110H
Leadis Technology Inc,Leadis Technology Inc,160254,52171N
Leaf Group Ltd,Leaf Group Ltd,185703,52177G
Lear Corp,Lear Corp,16477,521865
LECG Corp,LECG Corp,155933,523234
LecTec Corp,Lectec Corp -Old,12947,523251
Lee Enterprises Inc,Lee Enterprises Inc,6639,523768
Lehman Brothers Holdings Inc,Lehman Brothers Holdings Inc,30128,52451A
Legacy Acquisition Corp,Legacy Acquisition Corp,32561,524643
Legacy Reserves LP,Legacy Reserves Inc,166436,524707
Legg Mason Inc,Legg Mason Inc,6653,524901
Lehman Brothers Holdings Inc,Lehman Brothers Holdings Inc,30128,524908
Leidos Holdings Inc,Leidos Holdings Inc,165123,525327
LeMaitre Vascular Inc,LeMaitre Vascular Inc,174390,525558
Lenco Mobile Inc,Lenco Mobile Inc,132981,52602V
LendingTree Inc,Lendingtree Inc -Old,129626,52603B
Lennar Corp,Lennar Corp,6669,526057
Lennox International Inc,Lennox International Inc.,122380,526107
Level One Bancorp Inc,Level One Bancorp Inc,33272,52730D
Lexington Strategic Asset Corp,Lexington Strategic Asset Corp,165166,52962M
Liberman Broadcasting Inc,Liberman Broadcasting Corp,158745,52991N
Liberty Broadband Corp,Liberty Broadband Corp,21227,530307
Liberty Property Trust,Liberty Property Trust,30354,531172
Life Technologies Corp,Life Technologies Inc,12592,53217V
Ligand Pharmaceuticals Inc,Ligand Pharmaceuticals Inc,25937,53220K
Lifetime Brands Inc,Lifetime Brands Inc,24099,53222Q
Lilis Energy Inc,Lilis Energy Inc,186061,532403
Life Time Fitness Inc,LIFE TIME FITNESS Inc,160183,53242J
LIN Media LLC,LIN Media LLC,148531,532771
Lincoln Educational Services,Lincoln Educational Services Corp,163668,533535
